Movie,Review_Title,Review_Author,Review_Date,Review_Rating,Review,Rating,Tokens,Chunks,PCA1,PCA2,Kmean_2,Kmean_3,Kmean_4
1 - Nenokkadine (2014) - IMDb, Its like watching a color film during the black and white times.,s-vinaykumar12345610,January/2014,9/10,"Its the same excitement that bring to every tollywood movie guy when they have watched a film in full 'Color' during the times of 'black and white' cinematography. Usually most of the 'Tollywood' films has typically a nice formulae. Start with a fight, a song, chase the villains, two more fights, 10 jokes, fight in climax and END. But This film is completely different. A film that could set standards to the upcoming ones. A completely different road that has been put up this film. And this might be the one of the best films in Tollywood that makes you to be in the script till the end. This not like other movies which defines the laws of the physics. And every other director who are using the usual formulae should see this and try to change the way how it has been taken up by Mr Sukumar. Its awesome. Its a huge leap for tollywood. Excellent cinematography, excellent script (thou it has loosened a bit in the middle) excellent direction, Most stunning background music and good crew. I must also appreciate the Background Music. Mr Devi Sri Prasad has really done an excellent experiment with tuning the same music tone and using it for the different versions. So, when you come out of the theatre, you can still hear the same music. This is awesome. And to understand it you must put your complete concentration on the movie. If some body tells you that this is crap them it means that they haven't seen movies like Dark Knight/Inception/Breaking Bad which give the nostalgia in the end. Proud to write a review about a movie like this.",1,"[excitement, bring, every, tollywood, movie, guy, watch, film, full, time, white, cinematography, usually, film, typically, nice, formula, start, fight, song, chase, villain, two, fight, joke, fight, climax, end, film, completely, different, film, could, set, standard, upcoming, one, completely, different, road, put, film, might, one, best, film, tollywood, make, script, till, end, like, movie, defines, law, physic, every, director, use, usual, formula, see, try, change, way, take, mr, sukumar, awesome, huge, leap, tollywood, excellent, cinematography, excellent, script, thou, loosen, bit, middle, excellent, direction, stun, background, music, good, crew, must, also, appreciate, background, music, mr, devi, sri, prasad, really, do, excellent, experiment, ...]","[its the same excitement, bring, to, every tollywood movie guy, when, they, have watched, a film, in, full, color, ', during, the times, of, black, white, cinematography, usually most, of, ', tollywood, films, has, typically, a nice formulae, start, with, a fight, a song, chase, the villains, two more fights, 10 jokes, fight, in, climax and end, this film, is, completely different, a film, could set, standards, to, the upcoming ones, a completely different road, has been put, up, this film, might be, of, the best films, in, tollywood, makes, you, to, be, in, the script, till, the end, not, like, other movies, defines, the laws, of, the physics, every other director, are using, the usual formulae, should see, this and try, to, change, the way, how, it, has been taken, up by, mr sukumar, its, awesome, its a huge leap, for, tollywood, excellent cinematography, excellent script, thou it, has loosened, a bit, in, the middle, excellent direction, most stunning background music, good crew, i, must also appreciate, the background music, ...]",-0.028813351377335615,0.03927396560720211,1,1,1
24 (2016) - IMDb, Worth the TIME!!,naveensankaran186,May/2016,9/10,"Vikram K Kumar is the real hero! All his work in making such a detailed script has payed off. The screenplay will be slightly hard to digest for the commercial movie lovers! But I loved the way he penned the screenplay. The Romantic part is well combined with sci-fi part, so it was very engaging and enjoyable one.Greatest comeback for Surya! If it's Theri for Vijay, it's 24 for Surya! He just basks the whole movie on his back and delivers a great performance! Aathraya role needs special mention as he literally steals the show with his sleek villainous role.! Watch out!ARR silently keeps the flow of the movie with his BGM and you won't get disturbed unlike others. The Art direction and cinematography completes the visual cycle beautifully! Special appreciations to them!Every character is given its own importance. Was waiting for such a sci-fi thriller in Thamizh cinema that has very good detailing that it takes some time to get a good look into it completely!! Although it's on the lines of Indru Netru Naalai, 24 is the movie to watch out, purely for its screenplay! Aathraya - highlight of the whole movie! Must watch in theater!!As it's a sci-fi in Thamizh, 9/10!!!!",1,"[vikram, k, kumar, real, hero, work, make, detail, script, payed, screenplay, slightly, hard, digest, commercial, movie, lover, love, way, pen, screenplay, romantic, part, well, combine, part, engage, enjoyable, comeback, surya, theri, vijay, surya, basks, whole, movie, back, delivers, great, performance, aathraya, role, need, special, mention, literally, steal, show, sleek, villainous, watch, arr, silently, keep, flow, movie, bgm, get, disturbed, unlike, others, art, direction, cinematography, completes, visual, cycle, beautifully, special, appreciation, every, character, give, importance, wait, thriller, thamizh, cinema, good, detail, take, time, get, good, look, completely, although, line, indru, netru, naalai, movie, watch, purely, screenplay, aathraya, highlight, whole, movie, must, ...]","[vikram k kumar, is, the real hero, all his work, in, making such, detailed, script, has payed, off, the screenplay, will be, slightly hard, to, digest, for, the commercial movie lovers, i, loved, the way he, penned, the screenplay, the romantic part, is well combined, with, sci-fi part, so, it, was very engaging, enjoyable one.greatest comeback, for, surya, if, it, is theri, for, vijay, it, is, for, surya, he, just, basks, the whole movie, on, his, back, delivers, a great performance, aathraya role, needs, special mention, as, he, literally steals, the show, with, his sleek villainous role, watch, out!arr, silently keeps, the flow, of, the movie, with, his bgm and you, will not get disturbed, unlike, others, the art direction, cinematography, completes, the visual cycle, beautifully, special appreciations, to, them!every, character, is given, its own importance, was waiting, for, such, a sci-fi thriller, in, thamizh cinema, has, very good detailing, that, it, takes, some time, to, get, a good look, into, it, completely, although, ...]",0.05896170222596111,-0.07842689595923978,0,0,0
24 (2016) - IMDb, Such a disappointment .....,tmyuran24,June/2016,5/10,"This review is not intended to hurt anyone. I am just writing the pros and cons of the movies. It's just my opinion. The trailer seems awesome and much to anticipate. I really wanted to enjoy this, and had looked forward to it for some time.But the truth is I wasted my time watching this movie. I wish I had that device to redo this awful movie. The movie doesn't make any sense of time line. It Seems like the director rush to finish the movie. Too many flaws in the movie. He didn't study about how time travel works. He wanted to create a new genre movie. The movie lacked characters and story to it. I have seen many time travel movie but this movie is the worst I have seen in many years. Please don't create a part two of this movie. If you do please study how time travel works. To conclude, don't freaking rush or have a lame ending. Thank you.",0,"[review, intend, hurt, anyone, write, pro, con, movie, opinion, trailer, seems, awesome, much, anticipate, really, want, enjoy, look, forward, truth, waste, time, watch, movie, wish, device, redo, awful, movie, movie, make, sense, time, line, seems, like, director, rush, finish, movie, many, flaw, movie, study, time, travel, work, want, create, new, genre, movie, movie, lack, character, story, see, many, time, travel, movie, movie, bad, see, many, year, please, create, part, two, movie, please, study, time, travel, work, conclude, freak, rush, lame, end, thank]","[this review, is not intended, to, hurt, anyone, i, am just writing, the pros, cons, of, the movies, it, is, just, my opinion, the trailer, seems, awesome and much, to, anticipate, i, really wanted, to, enjoy, had looked, forward, to, it, for, time.but, the truth, is i wasted, my time, watching, this movie, i, wish i had, that, device, to, redo, this awful movie, the movie, does not make, any sense, of, time line, it, seems, like, the director rush, to, finish, the movie, too many flaws, in, the movie, he, did, not study, about, how, time travel works, he, wanted, to, create, a new genre movie, the movie, lacked, characters and story, to, it, i, have seen, many time travel movie, this movie, is, the worst i, have seen, in, many years, please do not create, a part, of, this movie, if, you, do please, study, how, time travel works, to, conclude, do not freaking, rush, have, a lame ending, thank, you]",0.27252503318672977,0.06859187383002661,0,2,2
A Sound of Thunder (2005) - IMDb, Best bad movie of the year!,mooshki3,September/2005,7/10,"I live for movies like this.Saw it in a theater with about 12 other people. 3 people left about 20 minutes in. I'm not sure if they left because the movie was so bad or because they couldn't hear the dialogue over the laughter of the rest of us.Mediocre special effects don't excite me. Abysmally bad special effects are wonderful. I disagree with the previous commenter -- I don't think the actors were walking on a treadmill in front of the green screen, I think they were just standing in place and shifting their weight from one foot to the other.Sir Ben Kingsley is clearly aware of the ""quality"" of this film and embraces the ridiculousness, having a great time reading his absurd lines.The plot, the dialogue, the special effects, the creatures, the actor's accents -- each piece of this movie is worse than the last. There were at least three scenes that made me laugh so hard I cried.I love dumpster-diving through bad movies in search of treasure. The recent crop of bad movies have been just plain boring. This one is the diamond that makes it all worthwhile.",1,"[live, movie, like, theater, people, people, left, minute, sure, left, movie, bad, could, hear, dialogue, laughter, rest, special, effect, excite, abysmally, bad, special, effect, wonderful, disagree, previous, commenter, think, actor, walk, treadmill, front, green, screen, think, stand, place, shift, weight, one, foot, ben, kingsley, clearly, aware, quality, film, embrace, ridiculousness, great, time, reading, absurd, plot, dialogue, special, effect, creature, actor, accent, piece, movie, bad, last, least, three, scene, make, laugh, hard, love, bad, movie, search, treasure, recent, crop, bad, movie, plain, boring, one, diamond, make, worthwhile]","[i live, for, movies, like, this.saw it, in, a theater, with about, 12 other people, 3 people, left, about, 20 minutes, in, i, am, not sure, if, they, left, because, the movie, was, so bad, because, they, could not hear, the dialogue, over, the laughter, of, the rest, of, us.mediocre special effects, do not excite, me, abysmally bad special effects, are, wonderful, i, disagree, with, the previous commenter, i, do not think, the actors, were walking, on, a treadmill, in, front, of, the green screen, i, think, they, were just standing, in, place, shifting, their weight, from, one foot, to, the other.sir ben kingsley, is, clearly, aware, of, quality, of, this film, embraces, the ridiculousness, having, a great time, reading, his absurd lines.the plot, the dialogue, the special effects, the creatures, the actor, accents, each piece, of, this movie, is, worse, than, the last, there were, at, least, three scenes, that, made, me, laugh, so hard i, cried.i love, ...]",0.13815708557423675,0.07700004226477411,0,2,2
A Sound of Thunder (2005) - IMDb, Prepare to thunder towards the exit,TheMovieMark1,September/2005,4/10,"What exactly is the sound of thunder? If this movie is any indication then it's the sound of moviegoers thundering towards the exit, demanding their money back. Yes, the movie is that bad.""Hey Johnny, how bad is it?"" This movie is so bad that Ray Bradbury wishes he could invent a time machine so that he could go back in time and NOT write the short story, thus preventing this movie from ever being made.""Whoa, that bad?"" Worse. In fact, this movie is so bad that Ray Bradbury might kill himself just so he can roll over in his grave. I know you think I'm trying to be cute, but I'm being serious. This was one of the strangest movie experiences I've had in quite a while. The problem is that I went into the movie expecting to enjoy it. I thought it had the chance to be pretty good. So at the very start I was trying to make excuses for what was unraveling on screen.The first thing to induce unintentional laughter was the fact that Ben Kingsley (the owner of the time traveling safari who's only interested in how much money he can make) looks like Bob Barker. Nice poofy white wig, Ben. Oh well, no big deal, I can laugh that off. Then we're introduced to the first CGI dinosaur of the movie. ""Hmm, that sure looks really fake,"" I thought. ""Oh, I know! It's supposed to be fake. They're tricking the hunters into thinking the dinosaur is real, but it's mechanical or something."" Nope. Imagine my sheer horror when I came to the realization that the dinosaur was supposed to be real. Wow. At this point I started to get nervous.Then came the incredibly bad green screens. Folks, these are some of the worst green screens I've ever seen. My words cannot do justice to how fake they looked. Some might even say they looked faker than those things Pamela Anderson tries to pass off as breasts. When you can tell that the actors are walking on a treadmill then you have serious issues that are long past addressing. I was absolutely shocked at what I was witnessing. Honestly, I started to get confused and thought, ""What in the world is going on? This movie cost $80 million to make, there's no way it can look this bad."" Where there's a will, there's a way, and somebody must've had a strong will to make this as cheesy and as goofy as they could because I cannot come up with any other explanation.I actually like the concept of the movie - the butterfly effect - the theory that something as small as a butterfly flapping its wings can produce long-term effects on a dynamical system. However, this movie presents the theory in the most outlandish, most unbelievable way imaginable. Sorry, but I just didn't buy it. One of the scientists in the movie argues that if you kill a bee, then that bee can't pollinate a flower, and an animal will not be able to eat that flower, thus that animal will die and can cause damaging long-term effects. Um, if ""Flower A"" never blossoms then an animal that's hungry will just go find ""Flower B"" and eat that. I don't think the animal will immediately die AND CAUSE HUMANS TO TURN INTO ALIEN-LIKE CREATURES!!! Come on.So the movie decides to take the ""butterfly effect"" to the most extreme depths that it possibly can - fine, whatever. What *really* bothered me is it doesn't care to explain why killing the butterfly resulted in the world being taken over by horribly rendered CGI creatures. It would have at least been nice to have an explanation as to why and how such drastic changes took place because of one simple butterfly.The butterfly would've been killed in a volcano that erupts right before they head back to the time machine anyway, so how do you explain that? Well, if your name is A Sound of Thunder then you don't. You just say, ""Here's the premise, now we're just going to become a monster movie and have the good guys be chased by bat monsters in the dark."" Well, I'd be interested in hearing what's said when this movie becomes one of the biggest (if not THE biggest) flops of the year.At about the halfway point I realized that there was no need to continue to rationalize why the movie appeared to be so bad. I accepted the fact that in this case appearances were not deceiving and this was just a really horrible movie. If you can accept that from the start then there is plenty of unintentional laughter to be had.Once our heroes started being chased by weird ape/bat/dinosaur hybrids, I just kicked back, laughed, and shook my head at the fact that the CGI is as bad (if not worse) than what you see in Sci-Fi Original movies starring Lorenzo Lamas and Michael Paré. I wish I were exaggerating.I honestly don't know how this movie was allowed to achieve such mediocrity. You know when one of the characters starts off with an American accent, then begins to fluctuate between American and British accents, and then eventually settles into her native British accent that everybody involved has obviously thrown in the towel and said, ""Screw it, let's just get this over with."" You would think that in the year 2005 a movie with an $80 million budget wouldn't look more like a movie that was made on an $8 million budget. I'm sorry, but CGI this awkward on this size of a budget is just inexcusable. Way to go Hollywood. We can only hope a few jobs are lost over this disaster.",0,"[exactly, sound, thunder, movie, indication, sound, moviegoer, thunder, towards, exit, demand, money, back, yes, movie, bad, hey, johnny, bad, movie, bad, ray, bradbury, wish, could, invent, time, machine, could, go, back, time, write, short, story, thus, prevent, movie, ever, make, whoa, bad, bad, fact, movie, bad, ray, bradbury, might, kill, roll, grave, know, think, try, cute, serious, one, strangest, movie, experience, quite, problem, go, movie, expect, enjoy, thought, chance, pretty, good, start, try, make, excuse, unravel, first, thing, induce, unintentional, laughter, fact, ben, kingsley, owner, time, travel, safari, interested, much, money, make, look, like, bob, barker, nice, poofy, white, wig, ...]","[exactly is, the sound, of, thunder, if, this movie, is, any indication, then, it, is, the sound, of, moviegoers, thundering, towards, the exit, demanding, their money, back, the movie, is, that, bad.""hey johnny, how, bad, is, it, this movie, is, so bad, that, ray bradbury, wishes, he, could invent, a time machine, so, that, he, could go, back, in, time, not write, the short story, thus preventing, this movie, from, ever being, made.""whoa, that, bad, worse, in, fact, this movie, is, so bad, that, ray bradbury, might kill, himself, just, so, he, can roll, over in, his, grave, i know you, think i am trying, to, be, cute, i, am being, serious, was, of, the strangest movie experiences, i have had, in, quite, while, the problem, is, that, i, went, into, the movie, expecting, to, enjoy, it, i, thought, it, had, ...]",0.1990081199795233,0.11126845637350738,0,2,2
After Earth (2013) - IMDb, Kitai Litter,jadepietro4,June/2013,3/10,"This film is not recommended.  Father doesn't always know best, the latest result being After Earth, a  vanity project that Will Smith has concocted for his son, Jaden. This  wobbly sci-fi tale of survival will certainly test both Mr. and Mr.  Smith's star power. Director M. Night Shyamalan, the man who  continually keeps falling from grace, one film after the next, is still  tumbling further from his talented beginnings, although here the  director crashes and burns.   This is not to say that After Earth is hopelessly clichéd, it's just  hopeless. Shymalan's well- made film has some striking imagery, mostly  of panoramic vistas, but his ill-conceived screenplay (co-written with  Gary Whitta) keeps this exercise in filmmaking rather earthbound.  Adding to that, his main star and one of the film's producers, Papa  Smith, pushes nepotism to its limits with this unoriginal dreck. (He is  also given story credit for this silliness.) It's not just that this  film has no Will power, it just has too much of it, both on screen and  off.  Will Smith plays the fearless Cypher Raige, a no-nonsense military  commando sent on a mission with his newt of a son, Kitai, played by  Jaden Smith. Cypher is disappointed with his son's lack of achievement  as a cadet and their relationship is a bit strained, just like the  acting. The Smiths obviously look the part and act the part with the  same stilted delivery. Like father, like son. Unfortunately (for us),  they crash land on the apocalyptic Planet Earth. Cypher is injured with  two broken legs, but pain is not an option. However a better script  would have helped matters. Kitai must now go into rescue mode, wearing  his amazing technicolor space suit, fighting beasts and creatures along  the way to becoming a man.   On his journey of self-awareness, Kitai contends with imminent peril:  giant baboons, poisonous leeches, carnivorous tigers, and such. He  needs to deal with the fluctuating below-freezing temperatures and an  active volcano too. Life is hard. Kitai even battles a monster called  the Ursa, a predator that hunts by sensing fear. (If the creature could  instead sense the smorgasbord of bad acting on its plate, the Ursa  would never go hungry again.) The elder Smith underacts and speaks in  annoying solemn platitudes while the younger Smith overacts in a  squeaky nasal voice that only a teenager can tolerate.   The art direction is mind-numbing. The futuristic sets are bargain  basement knockoffs of Disney World's Tomorrowland, circa 1960...very  unimaginative with an overabundance of Rubbermaid-influenced interiors  and enough flowing linen sheets to make one think that Bed, Bath, and  Beyond had given the filmmakers a cut-rate deal for some product  endorsements. All of the special effects are barely adequate and not  the least bit compelling. After Earth has a strange lethargic  listlessness throughout its short length. The film never builds any  real tension or suspense. It's just so dull and unrelenting in its  stupidity.  After Earth is the type of film that gives the sci-fi genre a bad name.  Shyamalan and the Smiths might want to use other aliases after creating  this debacle. Let's hope they refine their own survival skills when  making another film. After Earth is strictly Ursa Minor.   So dear moviegoers, heed the film's tag-line: ""Danger is real, Fear is  a choice"". You have been sufficiently warned about the real dangers in  viewing After Earth...Fear not, it's still in your control. GRADE: C-",0,"[film, recommend, father, always, know, best, late, result, earth, vanity, project, smith, concoct, son, jaden, wobbly, tale, survival, certainly, test, smith, star, power, director, night, shyamalan, man, continually, keep, fall, grace, one, film, next, still, tumble, talented, beginning, although, director, crash, burn, say, earth, hopelessly, clichéd, hopeless, shymalan, make, film, strike, imagery, mostly, panoramic, vista, screenplay, gary, whitta, keep, exercise, filmmaking, rather, earthbound, add, main, star, one, film, producer, papa, smith, push, nepotism, limit, unoriginal, dreck, also, give, story, credit, silliness, film, power, much, screen, smith, play, fearless, cypher, raige, military, commando, sent, mission, newt, son, kitai, played, jaden, smith, ...]","[this film, is not recommended, father, does not always know, best, the latest result, being, after, earth, a vanity project, that will smith, has concocted, for, his son, jaden, this wobbly sci-fi tale, of, survival, will, certainly, test, both mr, mr, smith, star power, director m. night shyamalan, the man, continually keeps falling, from, grace, one film, after, the next, is still tumbling, further, from, his talented beginnings, although, here, the director crashes, burns, is, not, to, say, that after, earth, is, hopelessly clichéd, it, is, just hopeless, shymalan, well, made, film, has, some striking imagery, mostly, of, panoramic vistas, his, ill-conceived screenplay, co-written, with, gary whitta, keeps, this exercise, in, filmmaking, rather earthbound, adding, to that, his main star, of, the film, producers, papa smith, pushes, nepotism, to, its limits, with, this unoriginal dreck, he, is also given, story credit, for, this silliness, it, is, not just, that, this film, has, will power, it, just has, too, much, ...]",-0.12917823367271275,0.026975589472361616,1,1,1
Aftershock (2012) - IMDb, Pleasantly Surprised,RobertLThorpe10,May/2013,7/10,"I would not call this a horror film. A dark disaster film is more appropriate. The film is fun, lively and well done and acted. If not for a oddly timed and inappropriate character reveal that just makes you scratch your head and go huh? It was fun. The reveal was not even needed, especially when it did happen. It literally took me out of the film until it was resolved. If your looking for something on the dark end, with horror type feel then check it out. It was good. It flowed really well and made sense how the characters got from one place to another. Well structured and honest.",1,"[would, call, horror, film, dark, disaster, film, appropriate, film, fun, lively, well, do, act, oddly, time, inappropriate, character, reveal, make, scratch, head, go, huh, fun, reveal, even, need, especially, happen, literally, take, film, resolve, look, something, dark, end, horror, type, feel, check, good, flow, really, well, make, sense, character, get, one, place, another, well, structure, honest]","[i, would not call, this a horror film, a dark disaster film, is, more appropriate, the film, is fun, lively, well done, acted, if, not, for, oddly timed, inappropriate character reveal, just makes, you, scratch, your head, go, it, was fun, reveal, was not even needed, especially when, it, did happen, it, literally took, me, out, of, the film, until, it, was resolved, if, your looking, for, something, on, the dark end, with, horror type feel then check it, out, it, was, good, it, flowed, really well, made, sense, how, the characters, got, from, one place, to, well structured, honest]",-0.12949810092011177,0.15324001085323263,1,1,3
Aftershock (2012) - IMDb, Narrative failure,Harold_Boss20,May/2013,3/10,"Unfortunately this movie looks a lot better in the trailer than it actually is. I'm giving it points for defying expectations but essentially this is a big flop of a movie. The narrative is unconventional to say the least. It spends a staggering 30minutes introducing three serious douchebags. One American, two Chileans. Not explained how they came to be roving around Chile, but they have money and not a lot of responsibility. You would imagine that after thirty minutes these guys are going to be the major characters. Surprise! Only one of these guys survives any distance into the disaster and during the latter half of the movie the main characters are three girls who are considerably less fleshed out than the guys we met first off.That's not the only narrative flaw. Why is there such an effort made to introduce the girl with the wu-tang tattoo. Is she going to feature in the rest of the film? Nope. Are any of the character backgrounds actually important to the story or how they act under pressure? Not really. How come during the cable car crash (whatever it is) a crowded street suddenly becomes utterly deserted? I guess the main purpose of this story is to show us that during a disaster death comes randomly, even to people who think they are the lead characters.",0,"[unfortunately, movie, look, lot, better, trailer, actually, give, point, defy, expectation, essentially, big, flop, movie, narrative, unconventional, say, least, spends, stagger, introduce, three, serious, douchebags, one, american, two, chilean, explain, come, rove, around, chile, money, lot, responsibility, would, imagine, thirty, minute, guy, go, major, character, surprise, one, guy, survives, distance, disaster, latter, half, movie, main, character, three, girl, considerably, less, flesh, guy, met, first, narrative, flaw, effort, make, introduce, girl, tattoo, go, feature, rest, film, nope, character, background, actually, important, story, act, pressure, really, come, cable, car, crash, whatever, crowd, street, suddenly, becomes, utterly, desert, guess, main, purpose, story, show, ...]","[unfortunately, this movie, looks, a lot, better, in, the trailer, than, it, actually is, i, am giving, it, points, for, defying, expectations, essentially, is, a big flop, of, a movie, the narrative, is, unconventional, to, say, least, it, spends, staggering, introducing, three serious douchebags, one american, two chileans, not explained, how, they, came, to, be roving, around, chile, they, have money, not, a lot, of, responsibility, you, would imagine, that after, minutes, these guys, are going, to, be, the major characters, surprise, only, of, these guys, survives, any distance, into, the disaster, during, the latter half, of, movie, the main characters, are, three girls, are considerably less fleshed, out than, the guys we, met, first off.that, is, not, the only narrative flaw, why, is, such, an effort, made, to, introduce, the girl, with, the wu-tang tattoo, is, she, going, to, feature, in, the rest, of, the film, ...]",0.019397392677897717,-0.02364910895548579,0,0,0
Aliens (1986) - IMDb, A masterpiece - one of the best epic-action films of all time my personal favorite,ivo-cobra813,February/2018,10/10,"Aliens (1986) is the best Epic Sci-Fi Classic Action Movie of all time and one of my personal favorite best action sci-fi flicks that I love to death. Just like I love The Terminator and T2, I love this movie to death. James Cameron's classic masterpiece. The now classic science fiction film was only the third feature directed by James Cameron (following Piranha Part Two, The Terminator). It is the sequel to the 1979 film Alien and Alien is a masterpiece I love that film, but I love this movie more sorry this is my personal opinion this is my movie. I am not saying it is better than the original movie but it is right up there with Alien a real classic.  Ellen Ripley (Sigourney Weaver), the sole survivor from the original ""Alien"", returns to Earth after drifting trough space in hyper sleep for 57 years. Although her story about the Alien encounter is met with skepticism, she agrees to accompany a team of high-tech marines back to LV-426 and this time it's war! It has great cast I love the marines fighting aliens in this movie. The movie stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston , Ricco Ross, Colette Hiller, Daniel Kash ,Cynthia Dale Scott and Tip Tipping and they are all believable enough.I love the characters beside Ellen Ripley, Newt, Corporal Hicks, Bishop, Private Hudson, Private Vasquez, Sergeant Apone, Private Drake, Private Frost, Corporal Ferro, Private Spunkmeyer, Corporal Dietrich, Private Crowe I love those platoon of US Colonial Marines I know I haven't mentioned Burke because he was the bad guy and I don't like him. But most of the characters in this movie I love.  I know it is a sci-fi action film but it also does a have a horror mixed together people just don't see that. There's plenty of horror in it. The nightmare sequence in the beginning, the creepy atmosphere of the LV-426 colony, and the heart pounding face hugger on the loose scene in the medical bay. You see mother of those aliens who cocooned all the humans and killed them you see Ripley finding the nest and fight the Alien queen on the end. Ripley faces her fear and gets over her PTSD by going in by herself to rescue the Girl/Fight the Aliens/and Destroy the Entire Nest...Battles One on One with an Alien Queen and Whips its' Ass...and, by the end, now both her and Newt can dream without the worry of any more Nightmares (which plagued Ripley at the beginning of the film).This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1986!), with multiple huge explosions, with thousands of bullets fired, and scores from James Horner of stuntmen used.10/10 I have the Blu-ray disc which it also have a special edition version on it I used to had this film on DVD but I throw it away because I bought the Blu-ray which I am very happy about it. I love this film to death it is my personal favorite sci-fi action film even Lance Henriksen from Hard Target and The Terminator is in here and he is the good guy.",1,"[alien, best, epic, classic, action, movie, time, one, personal, favorite, best, action, flick, love, death, like, love, terminator, love, movie, death, james, cameron, classic, masterpiece, classic, science, fiction, film, third, feature, direct, james, cameron, follow, piranha, part, two, terminator, sequel, film, alien, alien, masterpiece, love, film, love, movie, sorry, personal, opinion, movie, say, better, original, movie, right, alien, real, classic, ellen, ripley, sigourney, weaver, sole, survivor, original, alien, return, earth, drift, trough, space, hyper, sleep, year, although, story, alien, encounter, met, skepticism, agrees, accompany, team, marine, back, time, war, great, cast, love, marine, fight, alien, movie, movie, star, sigourney, weaver, ...]","[aliens, is, the best epic, sci-fi classic action movie, of, all time, of, my, personal favorite best, action, sci-fi flicks, that, i love, to, death, just, like, i, love, the terminator, i, love, this movie, to, death, james, cameron, classic masterpiece, the now classic science fiction film, was, only, the third feature, directed, by, james, cameron, following, piranha part, the terminator, it, is, the sequel, to, the 1979 film, alien, alien, is, a masterpiece i love, that, film, i, love, this movie, more sorry, is, my, personal, opinion, is, my movie, i, am not saying, it, is, better, than, the original movie, it, is right, up, there, with, alien, a real classic, ellen, ripley, sigourney weaver, the sole survivor, from, original, alien, returns, to, earth, after, drifting, trough space, in, hyper sleep, for, 57 years, although, her story, about, the alien encounter, is met, with, skepticism, she, agrees, ...]",-0.04933530569250515,0.09673668371403935,1,1,3
Aliens vs. Predator: Requiem (2007) - IMDb," Not Great, But Not As Bad As Most People Say.",G_Train20,April/2008,6/10,"I didn't read any reviews of AvPR before going to see it, as I feel they skew the experience, but afterward I read several to see how the movie was received, and I'm disappointed at the number of people who are bagging this movie, when simply compared to previous Alien titles.I loved the original Alien movies, 1 & 2 especially, not so much 4 and I disliked 3, and while AvP1 wasn't a smash hit, it had the elements and hallmarks present that made the original Predator and Alien movies a hit, and the same can be said for AvPR.The movie is slanted toward horror and gore, rather then the suspense that made the originals so unique, and while thats not my cup of tea, I did enjoy the action and thrill of the movie that was there.When you compare AvPR to the original Alien or Predator movies, I agree that it in no way stacks up, but thats comparing it to the best in the business. The originals were ground breaking, unique and hit a much more innocent audience, these days you need to do *ALOT* to stun an audience, and I think that's why these additions are being so poorly received.AvPR for me was like the movie Doom, had little to nothing to do with it's roots, which is aggrivating, but expected, and yet despite that was still entertaining from a purely action/horror movie standing point. This was a decent Horror flic with great CGI and several plot twists, was it a credit to the Alien or Predator franchise, no - but you'd want to make one hell of a movie these days to compare to a classic of that caliber.",1,"[read, review, avpr, go, see, feel, skew, experience, afterward, read, several, see, movie, receive, disappoint, number, people, bagging, movie, simply, compare, previous, alien, love, original, alien, movie, especially, much, disliked, smash, hit, element, hallmark, present, make, original, predator, alien, movie, hit, say, movie, slant, toward, horror, gore, rather, suspense, make, original, unique, cup, tea, enjoy, action, thrill, movie, compare, avpr, original, alien, predator, movie, agree, way, stack, compare, best, business, original, ground, break, unique, hit, much, innocent, audience, day, need, stun, audience, think, addition, poorly, like, movie, doom, little, nothing, root, aggrivating, expect, yet, despite, still, entertain, purely, movie, stand, ...]","[i, did not read, any reviews, of, avpr, before, going, to, see, it, as, i feel they, skew, the experience, afterward i read, several, to, see, how, the movie, was received, i, am disappointed, at, the number, of, people, are bagging, this movie, when, simply compared, to, previous, alien titles.i, loved, the original alien movies, especially, not so much, 4 and i, disliked, while, was, not, a smash, hit, it, had, the elements, hallmarks, present, that, made, the original predator, alien, movies, hit, the same, can be said, for, avpr.the movie, is slanted, toward, horror, gore, rather then, the suspense, that, made, the originals, so unique, while, is, not, my cup, of, tea, i, did enjoy, the action, thrill, of, the movie, was, there.when you, compare avpr, to, the original alien, predator movies, i agree, that, it, in, no way stacks, up, is comparing, it, to, best, in, the business, ...]",0.09816451276563393,0.04040967543960908,0,2,2
